"unlist.xx."
"1770943_at"	"YMR239C"
"1770945_at"	"YLR363C"
"1770947_at"	"YPR006C"
"1770948_at"	"YLR075W"
"1770949_at"	"YMR043W"
"1770952_at"	"YNL008C"
"1770954_at"	"YLR363W-A"
"1770957_at"	"YOR378W"
"1770958_at"	"YBR273C"
"1770962_at"	"YAL038W"
"1770963_at"	"YHR070W"
"1770964_at"	"YPR068C"
"1770966_at"	"YJR120W"
"1770967_at"	"YIL096C"
"1770968_at"	"YLR038C"
"1770971_at"	"YDR064W"
"1770974_at"	"YNR004W"
"1770979_at"	"YIL134W"
"1770981_at"	"YIL121W"
"1770987_at"	"YLR268W"
"1770988_at"	"YMR161W"
"1770990_at"	"YER064C"
"1770995_at"	"YBR077C"
"1770996_at"	"YCR054C"
"1770998_at"	"YNR066C"
"1771000_at"	"YIL006W"
"1771002_at"	"YLR007W"
"1771004_at"	"YDR175C"
"1771005_at"	"YMR025W"
"1771006_at"	"YDR375C"
"1771007_at"	"YER176W"
"1771009_at"	"YHR113W"
"1771012_at"	"YDL060W"
"1771013_at"	"YLR271W"
"1771015_at"	"YPR179C"
"1771019_at"	"YOR137C"
"1771020_at"	"YJL063C"
"1771022_at"	"YBR056W"
"1771023_at"	"YDR191W"
"1771027_at"	"YPR163C"
"1771031_at"	"YGL178W"
"1771040_at"	"YLR189C"
"1771041_at"	"YOR152C"
"1771042_at"	"YML021C"
"1771045_at"	"YFL050C"
"1771046_at"	"YNL295W"
"1771051_at"	"YDR234W"
"1771052_at"	"YDL222C"
"1771055_at1"	"YOL120C"
"1771055_at2"	"YNL301C"
"1771057_at"	"YMR274C"
"1771061_at"	"YNL073W"
"1771064_at"	"YBR275C"
"1771065_at"	"YER093C-A"
"1771067_at"	"YKL112W"
"1771068_at"	"YMR137C"
"1771069_at"	"YLR063W"
"1771070_at"	"YIR007W"
"1771072_at"	"YMR159C"
"1771073_at"	"YIR030C"
"1771075_at"	"YKR085C"
"1771076_at"	"YGL068W"
"1771078_at"	"YCL026C-A"
"1771079_at"	"YOL068C"
"1771081_at"	"YER170W"
"1771083_at"	"YGL259W"
"1771084_at"	"YIL150C"
"1771085_at1"	"YOL120C"
"1771085_at2"	"YNL301C"
"1771088_at"	"YJR099W"
"1771090_at"	"YKL220C"
"1771091_at"	"YJR150C"
"1771095_at"	"YLR071C"
"1771100_at"	"YGL254W"
"1771101_at"	"YKL168C"
"1771103_at"	"YHR051W"
"1771104_at"	"YIL073C"
"1771106_at"	"YBR162C"
"1771108_at"	"YHR123W"
"1771109_at"	"YHL028W"
"1771112_at"	"YNL265C"
"1771117_at"	"YGR197C"
"1771119_at"	"YKL022C"
"1771120_at"	"YPR181C"
"1771125_at"	"YDR538W"
"1771126_at"	"YDR496C"
"1771133_at"	"YDL031W"
"1771135_at"	"YDR188W"
"1771137_at"	"YLR360W"
"1771138_at"	"YBR219C"
"1771139_at"	"YIL004C"
"1771140_at"	"YDR337W"
"1771141_at"	"YPR125W"
"1771143_at"	"YML054C"
"1771145_at"	"YIL038C"
"1771147_at"	"YJR134C"
"1771148_at"	"YDR336W"
"1771150_at"	"YPL107W"
"1771151_at"	"YPR081C"
"1771153_at"	"YKL103C"
"1771154_at"	"YIR023W"
"1771157_at"	"YDR524C-B"
"1771158_at"	"YLR342W-A"
"1771159_at"	"YGL111W"
"1771160_at"	"YML049C"
"1771162_at"	"YJL162C"
"1771165_x_at"	"YEL069C"
"1771167_at"	"YGL091C"
"1771169_at"	"YLR249W"
"1771170_at"	"YLR316C"
"1771171_at"	"YHR072W"
"1771172_at"	"YLR328W"
"1771173_at"	"YGL070C"
"1771176_at"	"YBR023C"
"1771177_at"	"YLR224W"
"1771179_at"	"YEL038W"
"1771183_at"	"YMR202W"
"1771184_at"	"YDR200C"
"1771186_at"	"YFR016C"
"1771187_at"	"YGR141W"
"1771188_at"	"YNL217W"
"1771189_at"	"YKL121W"
"1771190_at"	"YGR177C"
"1771191_at"	"YCL034W"
"1771192_at"	"YAL067W-A"
"1771193_at"	"YOL020W"
"1771195_at"	"YCR026C"
"1771196_at"	"YBR136W"
"1771197_at"	"YOR155C"
"1771199_at"	"YGL122C"
"1771200_at"	"YOR258W"
"1771202_at"	"YKL034W"
"1771204_at"	"YHR050W-A"
"1771206_at"	"YKL165C"
"1771209_at"	"YKL122C"
"1771211_at"	"YLR037C"
"1771212_at"	"YLR306W"
"1771214_at"	"YOR347C"
"1771215_at"	"YOL064C"
"1771217_at"	"YDR452W"
"1771218_at"	"YDR349C"
"1771219_at"	"YFR019W"
"1771220_at"	"YKL033W"
"1771222_at"	"YGL096W"
"1771227_at"	"YCL011C"
"1771230_at"	"YDR288W"
"1771231_at"	"YPL180W"
"1771233_at"	"YDL104C"
"1771234_at"	"YGR218W"
"1771236_at"	"YGR036C"
"1771240_at"	"YDR109C"
"1771246_at"	"YBR252W"
"1771249_at"	"YDL008W"
"1771252_at"	"YDL139C"
"1771253_at"	"YOR022C"
"1771258_at"	"YPL066W"
"1771260_at"	"YPR005C"
"1771261_at"	"YHR155W"
"1771262_at"	"YDL043C"
"1771265_at"	"YKR049C"
"1771266_at"	"YER036C"
"1771269_at"	"YLR103C"
"1771271_at"	"YKR043C"
"1771272_at"	"YPR182W"
"1771274_at"	"YOR351C"
"1771276_at"	"YPL057C"
"1771278_at"	"YOR171C"
"1771279_at"	"YBR143C"
"1771282_at"	"YDR002W"
"1771286_at"	"YDR541C"
"1771287_at"	"YGL012W"
"1771288_at"	"YGR053C"
"1771289_at"	"YDR531W"
"1771291_at"	"YAL037C-A"
"1771292_at"	"YDR224C"
"1771293_at"	"YER168C"
"1771296_at"	"YLR091W"
"1771299_at"	"YDR347W"
"1771302_at"	"YOR246C"
"1771304_at"	"YLR222C"
"1771305_at"	"YGR282C"
"1771310_at"	"YMR241W"
"1771312_at"	"YLR131C"
"1771313_at"	"YML075C"
"1771315_at"	"YPL096C-A"
"1771317_at"	"YMR071C"
"1771319_at"	"YPR093C"
"1771320_at"	"YER006W"
"1771321_at"	"YCR052W"
"1771323_at"	"YFL020C"
"1771324_at"	"YCL059C"
"1771326_at"	"YOR190W"
"1771328_at"	"YHR200W"
"1771329_at"	"YOR257W"
"1771330_at"	"YDR235W"
"1771331_at"	"YGL238W"
"1771334_at"	"YGR166W"
"1771337_at"	"YDL046W"
"1771340_at"	"YLR267W"
"1771341_at"	"YOL154W"
"1771344_at"	"YDR534C"
"1771346_at"	"YDR354W"
"1771348_at"	"YLR040C"
"1771349_at"	"YMR037C"
"1771353_at"	"YBR121C"
"1771355_at"	"YLR457C"
"1771358_at"	"YHR178W"
"1771359_at"	"YHR085W"
"1771363_at"	"YGR213C"
"1771364_at"	"YHR140W"
"1771367_at"	"YHR062C"
"1771372_at"	"YOL142W"
"1771373_at"	"YHR139C"
"1771375_at"	"YBL049W"
"1771376_at"	"YLR231C"
"1771378_at"	"YOR047C"
"1771382_at"	"YDR370C"
"1771383_at"	"YPR107C"
"1771387_at"	"YKR003W"
"1771388_at"	"YLR437C"
"1771389_at"	"YOR353C"
"1771390_at"	"YLR274W"
"1771391_at"	"YDR490C"
"1771392_at"	"YLR214W"
"1771393_at"	"YFR039C"
"1771395_at"	"YBR151W"
"1771396_at"	"YOL077C"
"1771397_at"	"YDR458C"
"1771399_at"	"YPL019C"
"1771401_at"	"YPR140W"
"1771402_at"	"YDR502C"
"1771403_at"	"YKR104W"
"1771404_at"	"YDL025C"
"1771405_at"	"YHR063C"
"1771408_at"	"YLL015W"
"1771410_at"	"YKR098C"
"1771413_at"	"YOL155W-A"
"1771415_at"	"YDR061W"
"1771416_at"	"YOR389W"
"1771417_at"	"YER136W"
"1771419_at"	"YPL026C"
"1771422_at"	"YDL047W"
"1771426_at"	"YNL049C"
"1771429_at"	"YLR208W"
"1771432_at"	"YGR149W"
"1771433_at"	"YPL151C"
"1771435_at"	"YDR043C"
"1771438_at"	"YOR217W"
"1771440_at"	"YGL171W"
"1771442_at"	"YLR376C"
"1771443_at"	"YML099C"
"1771444_at"	"YBR079C"
"1771446_at"	"YDL076C"
"1771447_at"	"YML105C"
"1771449_at"	"YPR135W"
"1771450_at"	"YDL089W"
"1771451_at"	"YOR080W"
"1771458_at"	"YGR208W"
"1771459_at"	"YBR131W"
"1771460_at"	"YOR049C"
"1771461_at"	"YLL006W"
"1771462_at"	"YLR234W"
"1771463_at"	"YPR010C"
"1771464_at"	"YAL035W"
"1771468_at"	"YMR123W"
"1771469_at"	"YDR292C"
"1771470_at"	"YMR010W"
"1771472_at"	"YKL019W"
"1771473_at"	"YOR238W"
"1771475_at"	"YDR390C"
"1771479_at"	"YNL259C"
"1771489_at"	"YOL132W"
"1771490_at"	"YER126C"
"1771492_at"	"YGL189C"
"1771493_at"	"YIL115C"
"1771495_at"	"YDR528W"
"1771497_at1"	"YIL069C"
"1771497_at2"	"YER074W"
"1771498_at"	"YGL156W"
"1771499_at"	"YNL111C"
"1771500_at"	"YMR078C"
"1771501_at"	"YPR017C"
"1771502_at1"	"YJR094W-A"
"1771502_at2"	"YPR043W"
"1771503_at"	"YAR035C-A"
"1771505_at"	"YCR090C"
"1771507_at"	"YNL152W"
"1771508_at"	"YGL168W"
"1771509_at"	"YGL055W"
"1771510_at"	"YGR170W"
"1771512_at"	"YMR225C"
"1771513_at"	"YER089C"
"1771514_at"	"YOR349W"
"1771515_at"	"YML131W"
"1771518_at"	"YOL144W"
"1771519_at"	"YAR027W"
"1771520_at"	"YNL149C"
"1771521_at"	"YOR099W"
"1771522_at"	"YLR239C"
"1771523_at"	"YDL160C-A"
"1771525_at"	"YNL161W"
"1771526_at"	"YPL132W"
"1771527_at"	"YER088C"
"1771529_at"	"YDR380W"
"1771530_at"	"YCR093W"
"1771531_at"	"YJL139C"
"1771533_at"	"YAR031W"
"1771534_at"	"YPL193W"
"1771536_at"	"YER101C"
"1771539_at"	"YNL242W"
"1771540_at"	"YNL121C"
"1771542_at"	"YNL113W"
"1771544_at"	"YDR395W"
"1771546_at"	"YMR004W"
"1771549_at"	"YNR031C"
"1771550_at"	"YAL064W-B"
"1771551_at"	"YDR520C"
"1771552_at"	"YDR217C"
"1771554_at"	"YOL104C"
"1771557_at"	"YIR031C"
"1771559_at"	"YHR122W"
"1771561_at"	"YPL141C"
"1771562_at"	"YDR067C"
"1771565_at"	"YDR184C"
"1771566_at"	"YAR002C-A"
"1771567_at"	"YDR524C"
"1771568_at"	"YBL067C"
"1771569_at"	"YDR428C"
"1771574_at"	"YDR213W"
"1771575_at"	"YGR089W"
"1771577_at"	"YBR015C"
"1771578_at"	"YDR036C"
"1771579_at"	"YOL127W"
"1771580_at"	"YKL161C"
"1771585_at"	"YOR008C"
"1771588_at"	"YMR179W"
"1771591_at"	"YDR297W"
"1771596_at"	"YOR298C-A"
"1771598_at"	"YOR061W"
"1771599_at"	"YIL112W"
"1771602_at"	"YGL172W"
"1771609_at"	"YFR025C"
"1771611_at"	"YIR004W"
"1771612_at"	"YPL138C"
"1771614_at"	"YDR306C"
"1771615_at"	"YKL183C-A"
"1771619_at"	"YGL047W"
"1771620_at"	"YPR162C"
"1771624_at"	"YDR453C"
"1771626_at"	"YKR081C"
"1771627_at"	"YGR295C"
"1771629_at"	"YOR213C"
"1771630_at"	"YDR272W"
"1771632_at"	"YDR273W"
"1771633_at"	"YPR191W"
"1771634_at"	"YJR046W"
"1771636_at"	"YNL212W"
"1771638_at"	"YDR237W"
"1771639_at"	"YLR410W"
"1771643_at"	"YGR223C"
"1771644_at"	"YOL133W"
"1771645_at"	"YPR151C"
"1771648_at"	"YML032C"
"1771649_at"	"YGL242C"
"1771650_at"	"YBR267W"
"1771651_at"	"YER100W"
"1771652_at"	"YML096W"
"1771655_at"	"YDR227W"
"1771657_at"	"YDR525W-A"
"1771658_at"	"YMR309C"
"1771664_at"	"YMR315W"
"1771670_at"	"YDR506C"
"1771671_at"	"YDL159W-A"
"1771675_at"	"YFR002W"
"1771677_at"	"YHR060W"
"1771678_at"	"YDL133W"
"1771679_at"	"YIL090W"
"1771682_at"	"YOR344C"
"1771685_at"	"YLR077W"
"1771686_at"	"YIR006C"
"1771687_at"	"YGR204W"
"1771691_at"	"YHL048C-A"
"1771692_at"	"YGR087C"
"1771693_at"	"YHL006C"
"1771695_at"	"YPR001W"
"1771696_at"	"YOL148C"
"1771700_at"	"YNR047W"
"1771702_at"	"YJR152W"
"1771703_at"	"YDL182W"
"1771705_at"	"YER150W"
"1771706_at"	"YBR154C"
"1771708_at"	"YDR081C"
"1771710_at"	"YDR083W"
"1771711_at"	"YAR008W"
"1771712_at"	"YER066W"
"1771713_at"	"YBR257W"
"1771714_at"	"YGL190C"
"1771716_s_at"	"YDL243C"
"1771719_at"	"YMR180C"
"1771722_at"	"YDL230W"
"1771724_at"	"YAL053W"
"1771725_at"	"YLR243W"
"1771726_at"	"YJR010C-A"
"1771729_at"	"YDR186C"
"1771731_at"	"YLR436C"
"1771733_at"	"YGR084C"
"1771734_at"	"YKL011C"
"1771735_at"	"YCR024C-A"
"1771736_at"	"YDL095W"
"1771737_at"	"YNL153C"
"1771738_at"	"YNL270C"
"1771743_at"	"YJL208C"
"1771744_at"	"YKR052C"
"1771745_at"	"YFL004W"
"1771748_at"	"YNL240C"
"1771751_at"	"YBR175W"
"1771752_at"	"YCL027W"
"1771757_at"	"YER024W"
"1771758_at"	"YCR095C"
"1771762_at"	"YMR187C"
"1771763_at"	"YER163C"
"1771764_at"	"YOR101W"
"1771766_at"	"YLR244C"
"1771772_at"	"YGL119W"
"1771773_at"	"YNR037C"
"1771775_at"	"YOL047C"
"1771776_at"	"YPR025C"
"1771778_at"	"YJR143C"
"1771781_at"	"YLR172C"
"1771782_at"	"YDL130W-A"
"1771787_at"	"YBR165W"
"1771788_at"	"YAL007C"
"1771789_at"	"YGR211W"
"1771792_at"	"YLR120C"
"1771794_at"	"YEL030W"
"1771795_at"	"YDL145C"
"1771799_at"	"YDR159W"
"1771800_at"	"YPL260W"
"1771801_at"	"YLR356W"
"1771802_at"	"YER054C"
"1771803_at"	"YMR023C"
"1771804_at"	"YOL022C"
"1771805_at"	"YKL174C"
"1771806_at"	"YDR374C"
"1771809_at"	"YJL052C-A"
"1771810_at"	"YLR049C"
"1771812_at"	"YMR263W"
"1771813_at"	"YNL045W"
"1771814_at"	"YHR067W"
"1771816_at"	"YPR118W"
"1771817_at"	"YNL169C"
"1771819_at"	"YCR057C"
"1771820_at"	"YHR143W-A"
"1771822_at"	"YML025C"
"1771824_at"	"YPL250C"
"1771826_at"	"YOL043C"
"1771827_at"	"YKL206C"
"1771828_at"	"YBL001C"
"1771829_at"	"YGR253C"
"1771830_at"	"YLR291C"
"1771831_at"	"YLR430W"
"1771832_at1"	"YDR418W"
"1771832_at2"	"YEL054C"
"1771833_at"	"YOL038C-A"
"1771835_at"	"YIL091C"
"1771836_at"	"YER146W"
"1771837_at"	"YKL186C"
"1771840_at"	"YEL047C"
"1771841_at"	"YJL024C"
"1771842_at"	"YML057W"
"1771843_at"	"YNL199C"
"1771849_at"	"YPR020W"
"1771851_at"	"YHR181W"
"1771853_at"	"YGL041C-B"
"1771855_at"	"YNL252C"
"1771857_at"	"YDR129C"
"1771859_at"	"YHR186C"
"1771860_at"	"YAL005C"
"1771862_at"	"YGL092W"
"1771863_at"	"YFL017C"
"1771868_at"	"YOR385W"
"1771870_at"	"YGL085W"
"1771871_at"	"YAL029C"
"1771880_at"	"YKL149C"
"1771881_at"	"YFR001W"
"1771884_at"	"YGL063W"
"1771886_at"	"YBR016W"
"1771887_at"	"YMR125W"
"1771892_at"	"YDR519W"
"1771893_at"	"YNL251C"
"1771894_at"	"YJL131C"
"1771896_at"	"YPL092W"
"1771897_at"	"YPR165W"
"1771900_at"	"YFL008W"
"1771901_at"	"YKL205W"
"1771902_at"	"YGL066W"
"1771904_at"	"YGL235W"
"1771906_at1"	"YML026C"
"1771906_at2"	"YDR450W"
"1771908_at"	"YNL160W"
"1771910_at"	"YDR052C"
"1771911_at1"	"YMR242C"
"1771911_at2"	"YOR312C"
"1771914_at"	"YKL072W"
"1771915_at"	"YGL062W"
"1771916_at"	"YBR293W"
"1771920_at"	"YMR116C"
"1771921_at"	"YDR141C"
"1771925_at"	"YJL164C"
"1771926_at"	"YNL068C"
"1771929_at"	"YKR022C"
"1771930_at"	"YLR204W"
"1771931_at"	"YPR141C"
"1771934_at"	"YOR365C"
"1771935_at"	"YDR147W"
"1771937_at"	"YLR323C"
"1771940_at"	"YGR239C"
"1771943_at"	"YER073W"
"1771944_at"	"YIL013C"
"1771948_at"	"YOR308C"
"1771949_at"	"YMR196W"
"1771951_at"	"YJL144W"
"1771952_at"	"YJL123C"
"1771954_at"	"YBL105C"
"1771955_at"	"YBR111C"
"1771956_at"	"YML022W"
"1771957_at"	"YGR031W"
"1771958_at"	"YKL124W"
"1771959_at"	"YJL041W"
"1771960_at"	"YDL109C"
"1771961_at"	"YPR111W"
"1771962_at"	"YPR060C"
"1771963_at"	"YHR209W"
"1771966_at"	"YAL058W"
"1771967_at"	"YMR242W-A"
"1771972_at"	"YHR189W"
"1771973_at"	"YIR012W"
"1771975_at"	"YMR055C"
"1771976_at"	"YNL309W"
"1771977_at"	"YBR085C-A"
"1771978_at"	"YGR252W"
"1771980_at"	"YKL084W"
"1771981_at"	"YGL110C"
"1771982_at"	"YMR170C"
"1771986_at"	"YGR201C"
"1771988_at"	"YGL175C"
"1771990_at"	"YDR379C-A"
"1771992_at"	"YPL043W"
"1771993_at"	"YBL051C"
"1771997_at"	"YGL185C"
"1771999_at"	"YOL053W"
"1772001_at"	"YOR336W"
"1772003_at"	"YNR050C"
"1772005_at"	"YBL101C"
"1772006_at"	"YDR383C"
"1772007_at"	"YIL029C"
"1772009_at"	"YLR270W"
"1772010_at"	"YCR012W"
"1772015_at"	"YDR346C"
"1772016_at"	"YIL070C"
"1772017_at"	"YDR246W-A"
"1772019_at"	"YJR025C"
"1772020_at"	"YKR010C"
"1772022_at"	"YLR150W"
"1772023_at"	"YKL091C"
"1772025_at"	"YOR151C"
"1772027_at"	"YKR016W"
"1772029_at"	"YMR075W"
"1772030_at"	"YKL185W"
"1772031_at"	"YJR045C"
"1772032_at"	"YIR010W"
"1772033_at"	"YOR128C"
"1772035_at"	"YJR022W"
"1772041_at"	"YDR432W"
"1772043_at"	"YDL235C"
"1772045_at"	"YGR233C"
"1772047_at"	"YNL101W"
"1772048_at"	"YLR337C"
"1772049_s_at"	"YDR261C-D"
"1772051_at"	"YEL011W"
"1772052_at"	"YLR321C"
"1772054_at"	"YJR078W"
"1772055_at"	"YDR247W"
"1772057_s_at"	"YDL248W"
"1772060_at"	"YFL017W-A"
"1772062_s_at1"	"YNL335W"
"1772062_s_at2"	"YFL061W"
"1772064_at"	"YLR368W"
"1772065_at1"	"YDR418W"
"1772065_at2"	"YEL054C"
"1772066_at"	"YHL042W"
"1772068_at"	"YJR138W"
"1772070_at"	"YCL063W"
"1772073_at"	"YPL196W"
"1772075_at"	"YJR055W"
"1772076_at"	"YGL090W"
"1772079_at"	"YLR016C"
"1772084_at"	"YBL016W"
"1772087_at"	"YBR255W"
"1772089_at"	"YAL002W"
"1772091_at"	"YDR505C"
"1772092_at"	"YLR147C"
"1772095_at"	"YIL110W"
"1772098_at"	"YMR005W"
"1772100_at"	"YGR274C"
"1772101_at"	"YML060W"
"1772103_at"	"YIL083C"
"1772104_at"	"YJR110W"
"1772105_at"	"YNL166C"
"1772112_at"	"YGR028W"
"1772114_at"	"YBR172C"
"1772116_at"	"YLR429W"
"1772120_at"	"YMR083W"
"1772121_at"	"YER148W"
"1772122_s_at"	"YFL064C"
"1772126_at"	"YBR040W"
"1772130_at"	"YDR155C"
"1772131_s_at"	"YNL033W"
"1772133_at"	"YDR244W"
"1772134_at"	"YKL178C"
"1772137_at"	"YGR033C"
"1772139_at"	"YHR030C"
"1772142_at"	"YGR026W"
"1772145_at"	"YLR371W"
"1772146_at"	"YDR352W"
"1772147_at"	"YDL175C"
"1772148_at"	"YKR031C"
"1772156_s_at1"	"YGR118W"
"1772156_s_at2"	"YPR132W"
"1772162_at"	"YGR015C"
"1772164_at"	"YBL014C"
"1772165_at"	"YOR073W"
"1772166_at"	"YDR323C"
"1772167_at"	"YKL018C-A"
"1772170_at"	"YGR217W"
"1772171_at"	"YLR152C"
"1772172_at"	"YJR002W"
"1772174_at"	"YKL082C"
"1772181_at"	"YKL133C"
"1772183_at"	"YML030W"
"1772185_at"	"YNL051W"
"1772186_at"	"YER105C"
"1772188_at"	"YOR059C"
"1772190_at"	"YGL128C"
"1772192_at"	"YKR071C"
"1772193_at"	"YLR297W"
"1772195_at"	"YPR169W"
"1772196_at"	"YLR259C"
"1772198_at"	"YCR102C"
"1772199_at"	"YNR058W"
"1772201_at"	"YOR098C"
"1772202_at"	"YKL148C"
"1772203_at"	"YFL023W"
"1772204_at"	"YER178W"
"1772205_at"	"YLR319C"
"1772207_at"	"YBL037W"
"1772208_at1"	"YBR048W"
"1772208_at2"	"YDR025W"
"1772209_at"	"YIL104C"
"1772212_at"	"YKL119C"
"1772214_at"	"YGL015C"
"1772218_at"	"YMR063W"
"1772220_at"	"YDR178W"
"1772222_at"	"YMR208W"
"1772223_at"	"YDL066W"
"1772224_at"	"YDR202C"
"1772225_at"	"YPL212C"
"1772226_at"	"YAL026C"
"1772227_at"	"YJL137C"
"1772228_at"	"YJR039W"
"1772229_at"	"YKL163W"
"1772231_at"	"YHR201C"
"1772232_at"	"YLR179C"
"1772233_at"	"YGL136C"
"1772234_at"	"YGR232W"
"1772238_at"	"YEL016C"
"1772239_at"	"YNL002C"
"1772240_at"	"YLR422W"
"1772241_at"	"YIL014W"
"1772243_at"	"YFL005W"
"1772247_at"	"YPR122W"
"1772248_at"	"YGL225W"
"1772249_at"	"YJR118C"
"1772250_at"	"YML012W"
"1772251_at"	"YJL189W"
"1772252_at"	"YOR019W"
"1772253_at"	"YOR250C"
"1772255_at"	"YKL067W"
"1772258_at"	"YMR244C-A"
"1772259_at"	"YIR037W"
"1772260_at"	"YDL088C"
"1772261_at"	"YEL034W"
"1772263_at"	"YGR216C"
"1772264_at"	"YLR009W"
"1772268_at"	"YPR091C"
"1772275_at"	"YJR097W"
"1772278_at"	"YDR285W"
"1772279_at"	"YMR251W-A"
"1772281_at"	"YHL009C"
"1772282_at"	"YER177W"
"1772283_at"	"YER061C"
"1772284_at"	"YLR225C"
"1772287_at"	"YHR018C"
"1772288_at"	"YOR038C"
"1772289_at"	"YHR207C"
"1772292_at"	"YFL054C"
"1772294_at"	"YLR388W"
"1772298_at"	"YGL160W"
"1772307_at"	"YML016C"
"1772310_at"	"YLR207W"
"1772312_at"	"YLR415C"
"1772313_at"	"YHR103W"
"1772317_at"	"YGR264C"
"1772320_at"	"YPL048W"
"1772321_at"	"YOL018C"
"1772326_at"	"YBR168W"
"1772327_at"	"YJR059W"
"1772330_at"	"YDR414C"
"1772331_at"	"YER016W"
"1772333_at"	"YPL263C"
"1772336_at"	"YLR056W"
"1772338_at"	"YML070W"
"1772341_at"	"YDR470C"
"1772342_at"	"YDL200C"
"1772343_at"	"YGL229C"
"1772344_at"	"YLR246W"
"1772346_at"	"YBR223C"
"1772347_at"	"YDR270W"
"1772348_at"	"YBR235W"
"1772349_at"	"YNL182C"
"1772350_at"	"YGR175C"
"1772352_at"	"YKR026C"
"1772356_at"	"YAL064C-A"
"1772358_at"	"YKL070W"
"1772361_at"	"YHR126C"
"1772362_at"	"YJR075W"
"1772365_at"	"YLR108C"
"1772366_at"	"YML063W"
"1772367_at"	"YMR091C"
"1772369_at"	"YJL197W"
"1772371_at"	"YJL048C"
"1772372_at"	"YNL016W"
"1772373_at"	"YLL039C"
"1772374_at"	"YJR054W"
"1772375_at"	"YOL140W"
"1772376_at"	"YPL051W"
"1772377_at"	"YPL121C"
"1772384_at"	"YEL058W"
"1772386_at"	"YAL015C"
"1772391_at"	"YIL057C"
"1772392_at"	"YDR211W"
"1772394_at"	"YML118W"
"1772396_at"	"YBR097W"
"1772398_at"	"YKL060C"
"1772399_at"	"YOL110W"
"1772400_at"	"YMR079W"
"1772401_at"	"YDR485C"
"1772405_at"	"YLL029W"
"1772407_at"	"YNL044W"
"1772408_at"	"YPR073C"
"1772410_at"	"YAL031C"
"1772412_at"	"YAL023C"
"1772414_at"	"YLR298C"
"1772416_at"	"YGL257C"
"1772418_at"	"YIL034C"
"1772420_at"	"YBR228W"
"1772421_at"	"YCL035C"
"1772426_at"	"YEL020C"
"1772433_x_at"	"YLR388W"
"1772438_at"	"YOL006C"
"1772442_at"	"YLR175W"
"1772443_at"	"YOR036W"
"1772446_at"	"YDL189W"
"1772447_at"	"YLR251W"
"1772448_at"	"YPL221W"
"1772452_at"	"YOR054C"
"1772456_at"	"YIR036C"
"1772457_at"	"YNL189W"
"1772459_at"	"YDL181W"
"1772460_at"	"YJR111C"
"1772463_at"	"YBL079W"
"1772464_at"	"YOR035C"
"1772465_at"	"YNL224C"
"1772467_s_at1"	"YHR056C"
"1772467_s_at2"	"YHR054C"
"1772468_at1"	"YKR094C"
"1772468_at2"	"YIL148W"
"1772470_at"	"YGL065C"
"1772473_at"	"YPR109W"
"1772475_at"	"YDL093W"
"1772477_at"	"YJR124C"
"1772483_at"	"YDL225W"
"1772484_at"	"YLR242C"
"1772485_at"	"YOR195W"
"1772487_at"	"YLR148W"
"1772491_at"	"YJR053W"
"1772496_at"	"YPR128C"
"1772497_at"	"YBR102C"
"1772499_at"	"YDL077C"
"1772500_at"	"YDR276C"
"1772505_at"	"YGL101W"
"1772508_at"	"YGR103W"
"1772509_at"	"YEL007W"
"1772510_at"	"YDL185W"
"1772511_at"	"YMR096W"
"1772512_at"	"YGR133W"
"1772514_at"	"YJL080C"
"1772516_at"	"YDR096W"
"1772517_at"	"YKL062W"
"1772521_at"	"YLR342W"
"1772524_at"	"YML108W"
"1772528_at"	"YAL064W"
"1772529_at"	"YCL005W"
"1772533_at"	"YPL128C"
"1772534_s_at1"	"YHR214W"
"1772534_s_at2"	"YAR066W"
"1772536_at"	"YHL043W"
"1772540_at"	"YER028C"
"1772541_at"	"YEL050C"
"1772545_at"	"YDR079C-A"
"1772547_at"	"YDR412W"
"1772548_at"	"YER085C"
"1772549_at"	"YAL062W"
"1772550_x_at"	"YMR230W"
"1772552_at"	"YDL064W"
"1772554_at"	"YBR019C"
"1772556_at"	"YKL164C"
"1772558_at"	"YBR067C"
"1772560_at"	"YJR068W"
"1772562_at"	"YER052C"
"1772563_at"	"YNL047C"
"1772565_at"	"YLR199C"
"1772566_at"	"YJR094C"
"1772567_at"	"YGR117C"
"1772570_at"	"YKR083C"
"1772572_at"	"YOR332W"
"1772573_at"	"YBR096W"
"1772574_at"	"YDR504C"
"1772576_x_at1"	"YAR020C"
"1772576_x_at2"	"YFL020C"
"1772579_at"	"YHR121W"
"1772580_at"	"YDR424C"
"1772581_at"	"YGR001C"
"1772583_s_at"	"YBR089C-A"
"1772586_at"	"YDR030C"
"1772589_at"	"YGR068C"
"1772590_at"	"YER166W"
"1772594_at"	"YNL087W"
"1772597_at"	"YCR101C"
"1772603_at"	"YMR067C"
"1772605_at"	"YDL069C"
"1772606_at"	"YOR370C"
"1772608_at"	"YPL192C"
"1772609_at"	"YKR041W"
"1772610_at"	"YBR094W"
"1772611_at"	"YLR404W"
"1772612_at"	"YGR188C"
"1772613_at"	"YLR253W"
"1772615_at"	"YPR145W"
"1772617_at"	"YHR188C"
"1772618_at"	"YLR351C"
"1772620_at"	"YPL084W"
"1772621_at"	"YDR405W"
"1772622_at"	"YEL065W"
"1772624_at"	"YNL005C"
"1772625_at"	"YEL046C"
"1772626_at"	"YJR149W"
"1772627_at"	"YLR210W"
