"unlist.xx."
"1769682_at"	"YOR104W"
"1769683_at"	"YCL018W"
"1769684_at"	"YBR110W"
"1769685_at"	"YDR518W"
"1769688_at"	"YDR210W"
"1769690_at"	"YJR033C"
"1769691_at"	"YLR089C"
"1769694_at"	"YBL036C"
"1769695_at"	"YDR363W"
"1769697_at"	"YBR002C"
"1769698_at"	"YMR227C"
"1769703_at"	"YJL097W"
"1769707_at"	"YNL118C"
"1769708_at"	"YIL161W"
"1769709_at"	"YCL054W"
"1769710_at"	"YDR006C"
"1769711_at"	"YOL019W-A"
"1769713_at"	"YOL162W"
"1769716_at"	"YPR121W"
"1769717_at"	"YPR031W"
"1769719_at"	"YFL039C"
"1769720_at"	"YFL047W"
"1769721_at"	"YDR331W"
"1769723_at"	"YGR174W-A"
"1769726_at"	"YDR515W"
"1769727_s_at1"	"YDL184C"
"1769727_s_at2"	"YDL133C-A"
"1769730_at"	"YHR128W"
"1769731_at"	"YDR261C"
"1769732_at"	"YOL077W-A"
"1769735_at"	"YJR058C"
"1769740_at"	"YDR118W"
"1769741_at"	"YDR119W"
"1769742_at"	"YDL125C"
"1769743_s_at1"	"YDL136W"
"1769743_s_at2"	"YDL191W"
"1769745_at"	"YMR178W"
"1769746_at"	"YGR083C"
"1769750_at"	"YDR253C"
"1769751_at"	"YOR285W"
"1769756_at"	"YBR017C"
"1769758_at"	"YPL235W"
"1769759_at"	"YFL067W"
"1769760_at"	"YGR075C"
"1769764_at"	"YOR223W"
"1769765_at1"	"YBR084C-A"
"1769765_at2"	"YBL027W"
"1769766_at"	"YBR296C"
"1769767_at"	"YIL132C"
"1769770_at"	"YML064C"
"1769773_at"	"YDL176W"
"1769774_at"	"YGL114W"
"1769775_at"	"YJL192C"
"1769776_at"	"YHR005C"
"1769777_at"	"YPL130W"
"1769778_at"	"YJR067C"
"1769779_at"	"YCR088W"
"1769781_at"	"YDR393W"
"1769782_at"	"YPL215W"
"1769783_at"	"YGR279C"
"1769785_at"	"YAL003W"
"1769786_at"	"YOR161C-C"
"1769788_at"	"YML023C"
"1769791_at"	"YDR168W"
"1769792_at"	"YGL196W"
"1769793_at"	"YFR036W"
"1769795_at"	"YBL089W"
"1769796_at"	"YHR124W"
"1769798_at"	"YGL036W"
"1769799_at"	"YJL134W"
"1769800_at"	"YDR231C"
"1769801_at"	"YHR114W"
"1769802_at"	"YML010W"
"1769803_s_at1"	"YHR055C"
"1769803_s_at2"	"YHR053C"
"1769804_at"	"YGL104C"
"1769805_at"	"YMR169C"
"1769806_at"	"YMR226C"
"1769808_at"	"YOL071W"
"1769809_at"	"YDL012C"
"1769810_at"	"YDR206W"
"1769812_at"	"YHR191C"
"1769813_at"	"YOR329C"
"1769818_at"	"YOL011W"
"1769819_at"	"YPL002C"
"1769823_at"	"YER167W"
"1769828_at"	"YKL194C"
"1769829_at1"	"YML026C"
"1769829_at2"	"YDR450W"
"1769832_at"	"YNR062C"
"1769833_at"	"YHL020C"
"1769834_at"	"YOR025W"
